Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Career_Category,technical_strength,soft_skill_strength,leadership_index,experience_index,academic_index
Engineering,Urban Planner,3.530438534147387,5,0,2,0,3,1,4,4,2,2,1,0,1,1,Other,2.3333333333333335,2.0,1,4,6.530438534147387
Chemistry,Art Director,4.018247221685561,1,2,0,0,8,1,3,4,0,3,0,3,0,1,Research & Science,1.0,3.3333333333333335,0,4,12.018247221685561
Engineering,Chemist,4.636733223332204,1,0,0,0,5,0,1,1,1,2,2,3,4,1,Other,1.3333333333333333,2.0,4,1,9.636733223332204
Physics,Manager,4.052692953534206,3,1,3,0,1,0,4,1,3,1,2,1,2,0,Research & Science,3.0,1.0,2,4,5.052692953534206
Law,Education Administrator,4.834850008942559,0,2,4,0,0,0,4,4,3,4,4,3,2,0,Public & Legal,3.6666666666666665,3.6666666666666665,2,6,4.834850008942559
Marketing,Accountant,4.029891529095423,2,0,0,1,2,0,0,2,4,3,1,2,4,1,Other,1.6666666666666667,2.3333333333333335,5,1,6.029891529095423
Medicine,Cybersecurity Analyst,3.226644909827205,4,0,1,1,0,1,1,2,4,2,2,3,0,0,Healthcare,2.3333333333333335,2.3333333333333335,1,2,3.226644909827205
Computer Science,Special Education Teacher,4.378898512867637,2,1,0,0,0,0,2,3,3,4,4,2,4,0,Technology,3.0,3.0,4,1,4.378898512867637
Education,Civil Engineer,3.6712135301622952,3,2,0,1,3,0,0,0,1,0,2,3,3,1,Education,1.0,1.0,4,3,6.671213530162295
Medicine,Artist,3.905219850365391,5,2,2,1,7,0,2,4,4,4,0,3,2,1,Healthcare,2.0,3.6666666666666665,3,5,10.905219850365391
Business,Architect,3.983628858616102,0,2,1,1,5,1,2,4,1,3,0,0,4,1,Management,1.0,2.3333333333333335,5,5,8.983628858616102
Education,Graphic Designer,4.831142370138503,5,1,1,1,5,1,1,1,4,2,4,0,2,0,Education,3.0,1.0,3,3,9.831142370138503
Engineering,Acoustics Specialist,2.519861098579108,4,2,3,1,4,1,1,3,2,3,4,1,2,0,Other,2.3333333333333335,2.3333333333333335,3,6,6.519861098579108
Chemistry,Organic Chemist,3.4993573182286166,4,2,4,0,7,0,2,1,2,1,4,2,2,0,Research & Science,2.6666666666666665,1.3333333333333333,2,6,10.499357318228617
